Symbol	MCL_5	MCL_4	MCL_3	MCL_2	MCL_1	MCL_20	MCL_19	MCL_18	MCL_17	MCL_11	MCL_15	MCL_10	MCL_8	MCL_6	MCL_12	MCL_16	MCL_14	MCL_13	MCL_9	MCL_7
AURKB	4.98386705997646	4.39668356097577	3.46647053056379	7.05592914474514	3.39885386099286	4.31199432785596	6.01552928871421	8.1357743383935	9.52871751507032	7.15772743933715	6.10941365999336	8.84429061848861	3.57594559612675	8.62850188708116	5.70104375797843	3.74985814332624	8.94580792551375	4.2278088900771	9.25555785263374	6.99948164502568
AXL	2.39890455925531	6.39668356097577	1.78839862545115	2.5705023175749	3.22892885955055	2.24160499996456	2.97113516935575	2.53091228023464	2.11227182139867	3.8723252204749	2.81990704279837	2.62404666373074	2.57594559612675	4.49334230379952	2.29505139830259	3.74985814332624	3.18795496487372	2.32091829446858	5.49676589601436	2.7935773464778
B2M	16.5821134577314	16.246541297955	16.2420808113233	16.3315548365129	16.0204987716774	15.6536455145162	16.3498702998237	15.8432122679467	15.7330643949548	15.9839907164294	16.1884135043061	16.1313595544873	16.6593418165119	16.2443483003762	16.6072111235261	16.2155636723622	15.0436453842863	16.2840853217624	15.7090991600934	15.222603605352
B4GALNT1	4.0993442773964	3.14875604753219	2.46647053056379	3.05592914474514	3.68836047818785	4.96407102443565	2.55609767007691	6.47992835151583	3.52730932067752	3.04225022191722	2.81990704279837	3.26147658434604	1.57594559612675	6.54396837686949	2.78047822547283	4.09778144674654	3.7184696815725	3.90588079518974	4.38714140483986	3.0345854459816
B4GALT1	11.8690549945297	12.0713404502459	11.6338886763955	10.0527052438709	11.2197419387042	10.769863742723	12.6004917894354	9.17637057460586	10.6377926304937	11.6984764352751	11.4697619731945	9.35649677677446	12.510865017903	11.2558429900729	12.3694604976463	12.3484182474481	11.4189093997136	12.1466721273517	10.6696202284953	10.0781385889007
BAD	6.73875456213993	7.27803906447715	7.15995748806311	6.77213617874455	6.70466229051695	6.70103661860186	6.1805885349847	7.19387729295707	7.72698166551388	6.92760765597609	6.86915056181822	6.43140158578835	7.39186253168778	7.77345022299226	6.78047822547283	7.20928976196353	6.92492055903993	6.87550714614622	7.56547864609837	7.19833187249479
BANK1	13.8484401417501	14.9050517440885	14.0978181343961	13.6140764908807	13.5143310784128	13.1111988432053	12.9442943839455	13.2427704151933	13.8694534542154	12.7724372834524	13.3804521785403	13.657775547818	14.0946807021561	13.9854816207513	14.3715998048645	13.2560304611989	9.32636899357082	14.1500463898371	11.9709169906106	14.2027271703828
BAX	11.2823115456437	10.1613805863972	10.945745560814	10.7789805597866	10.4456747177459	10.4790539956039	10.3429118136937	10.3049671931361	11.0231643475647	10.5908580965441	10.6889010306484	10.379676102162	10.9610889860178	10.64598931381	11.0698384579038	10.5758287435512	10.6922222315771	10.5340225141105	10.469010229617	10.9483954555299
BCAP31	10.8947595861425	11.3105177908369	9.6880576518286	9.96110122312736	10.0681326476475	9.58145500284918	9.87652217437388	9.89139361589139	10.37827747166	10.0284082967636	9.94689824823535	10.1176797665057	10.3681936257941	11.0457369420643	9.75775814897275	10.0536388915033	9.14731298037638	10.1298824693878	10.0802614977369	10.2897956353689
BCL2	12.4596004909429	12.9437810314936	11.7642465934579	13.2926267544888	11.0783339604983	12.097719233942	11.2291122279197	11.351445843866	11.8207809695156	11.9990296933181	11.9158900505872	11.9454737358519	12.7719328941553	12.0033999955068	11.5725712849439	12.3093221458106	11.7128231184314	11.6275496561811	11.4594503366379	11.1987188096141
BCL2A1	10.9448343283408	9.17942318377913	11.0377491490784	10.4749864154763	9.30307032230305	9.31413959968751	10.6567600090821	9.72840203003915	7.16393394122116	11.0372321471506	11.292033734284	10.310547190914	10.0462655309068	9.28590022392905	9.98853835580191	9.88661628083335	11.6248978008056	10.6529548428302	12.9127652378248	7.67399573072513
BCL2L1	9.19332042560541	8.93665860692362	8.59317500340698	9.10655521781511	8.88356488807852	9.2027652581012	9.6077597898994	9.07179371249168	9.17476774713244	9.76714298378285	9.64998204135606	9.5587204158528	8.89486494114177	9.19378202194062	8.93601930875249	8.52404620144864	9.29880073356201	8.97912977722038	10.9401137913166	8.99057059111829
BHLHE40	10.3646888439174	9.97053002950275	8.80186088525771	10.6236136540345	9.262351861088	9.11443375949944	10.0939631641634	9.82246672607848	10.6514306325067	9.84099201367011	9.27933866143567	9.12831393043411	9.71379062657514	9.81010869357111	11.0698384579038	8.142175566105	9.93838281884649	9.19128301405198	11.1567182925057	7.83399161492371
BIRC3	7.47572015630614	2.73371854825334	5.78839862545115	6.65796515882524	7.28421129505174	8.52700721882681	6.64356051132725	9.18912376298643	7.90234875202444	7.12025273391849	6.23494454207721	7.0163640865095	7.81116205782078	9.72490637103422	9.09465682075526	8.49987989031789	8.29880073356201	8.24573079807436	8.66277584745328	3.14150064989811
BIRC5	7.28154760861715	6.1260359710321	3.16691024870488	10.1719017081067	4.98381636171402	6.25952690796182	8.02098371880632	10.7495427827749	11.1489033596951	9.41148403158294	8.5598751251261	10.7120987208524	5.38330051818435	10.7055781100998	7.86794106672317	4.37788936593928	10.9693146783984	5.64284638935594	11.4884951202137	8.69828038284856
BLK	11.2838382072051	8.81409196471736	10.881155766371	9.92453125562929	9.99876670317999	10.311994327856	9.640020153622	8.81425791280295	9.76212675179484	9.46103985605717	9.06572380964615	10.1862890879518	10.7886446212594	9.6343546133266	9.57117580357683	9.63694025785457	9.57645067670007	10.3067602314719	8.55706640628217	9.14150064989811
BLM	8.58377990216359	8.55814698366989	9.38682338597887	8.93507474987076	8.36848021194934	9.03602086631467	9.13352649811266	9.92418355100906	10.1420191647927	8.80306255803779	9.14783387830717	10.2838443973745	8.65276119317758	9.92916136521487	8.47694904141098	8.63915467892002	8.44009472960422	8.55453797122828	10.7363353201858	9.7070107879531
BMPR1A	9.09239151675463	6.90364354969565	10.4867560314084	9.23441615969088	5.22892885955055	8.06942402458188	6.38052610549345	7.63711168406656	9.91640284258199	9.19650576709365	9.3659440316112	6.18204211685163	9.059761373391	9.53147743268629	7.45693908067948	9.96990662419439	8.47335718373597	5.32091829446858	8.01573083796127	9.16069421513142
BMPR2	7.76522677350112	10.7176622020343	11.211724672521	8.55691325282695	10.8745872919593	9.915444055955	10.8414998889392	7.82859282887532	6.52730932067752	10.4750240854929	10.4378846007475	7.6684407830892	9.97112267304475	8.85591238318423	9.8264328588189	10.6934385482639	11.0095518095071	9.98802983654361	7.8327008488956	7.29993001250259
BRAF	10.9829274995128	11.4014214799824	11.3221176965911	10.7760512287479	10.7583594136967	11.3511745093352	10.3385499206026	10.760799238118	10.2645566637053	11.3126753396755	10.5531107181684	10.7162165076586	11.4302945572244	10.5563521013253	10.3643668928427	11.1730695740508	10.5028528576936	10.7429830606414	10.7437671204753	11.1543246902557
BRCA1	6.80829549539301	7.07949338509507	7.81076643847961	8.53859306962016	6.31639170080089	6.76516695602157	8.03722435981352	8.36098727879232	9.84585213038024	8.06214977935492	8.42147151085666	9.66600995683443	5.87362614476743	9.25584299007287	7.02840573891642	6.59420727286604	9.54746051757756	6.40838113571892	9.38000522355823	7.62876647673214
BRCA2	7.63730929858038	6.3186810489745	8.11032672033851	8.41849922412985	7.06181887371529	8.06433514790908	8.66462212685508	8.53840681678156	9.36493725384892	8.69569246052114	8.53567841469545	9.69967436854411	7.33971124963667	9.54396837686949	6.34816273476215	7.6123546195763	10.2706953958817	7.26343279980782	9.74469340945794	7.32849916469937
BRIP1	6.58872911813532	7.3186810489745	8.00950235081903	8.55691325282695	6.70466229051695	6.64759735964039	7.43874071943875	10.439138086527	10.1846277702588	8.623869279564	8.00753404597414	9.92579687668048	6.21980178590147	10.252041419913	7.10240632036019	6.37788936593928	10.5435507725265	5.60632051333083	10.2851460372168	8.78122895405016
BRMS1	9.02461340231977	9.02220016004756	8.58800404790382	9.08777801078448	8.73672349974924	8.73666052833258	7.89594767296153	8.66932630893173	8.5469000490354	8.30277777214044	8.62439663116158	8.46255028435901	8.80796671866097	8.99887033702628	8.57674964840142	9.0386193742784	8.72883639713076	8.94662713753305	8.86031308010346	8.58917429765924
BTK	11.334069608859	10.6275256670079	11.017217315947	11.3906812799901	11.1153875552543	10.7334580962942	11.3905687200611	10.640017415242	10.9530497449937	10.3571481147371	11.5280329540846	10.7607530240009	10.5484467970034	10.7866497207471	11.8396295156414	10.3924021956382	10.0624240827899	11.4398593671921	11.2346109141888	11.0332843531164
BUB1	8.18026427277997	6.71861165586313	6.81519868479487	10.159966210531	7.40883794956548	7.06942402458188	8.57476151434195	10.2520114689418	11.4360772035267	9.20100014780285	8.99871019558713	11.0884789634264	5.66340843737709	10.5898692274781	7.33944551766104	4.37788936593928	10.3930693947783	6.5107428533486	11.6169721578402	8.24103632344903
BUB1B	5.8583361778926	6.1260359710321	6.05143303128495	8.67063898886035	6.18312516993742	6.02820136185537	7.92533147974263	9.67839989255719	10.3282092205978	8.68930884373028	7.65560659054994	10.6714735675588	4.45041471404289	9.91960705850162	6.36544072619399	5.33482064404739	10.943584403305	5.9647744842433	9.28132094869882	7.4478878938897
BYSL	7.96114698347638	8.09127055287143	6.83279274480961	8.79546868257518	8.63831979568825	6.90836159184936	7.83532131401003	8.02987226305857	8.50172391048304	6.99126629319841	8.2045708930337	8.16148079436931	5.54557194708323	8.34419886449372	8.17279564825159	5.53835403813252	8.95172061838364	7.27511460485545	9.18906244084683	8.48643057014709
C3AR1	7.67502896452954	5.98164606169693	6.13889587253528	5.41849922412985	6.45774755004643	7.00713974632754	7.82288421077181	7.60891479223591	3.98674093931481	10.2043617688366	8.42147151085666	3.97768361834544	6.81116205782078	8.25584299007287	5.9273196138021	6.39895098146711	8.1829368901071	6.5107428533486	7.83965360953736	5.19212672296808
CA9	2.98386705997646	3.47068414241955	2.27382545262139	3.05592914474514	3.03628378160815	3.08960190651951	2.97113516935575	2.16834220084993	3.43419991628603	3.04225022191722	3.35042175949715	3.26147658434604	2.31291119029295	6.6401836921288	3.43255492205252	3.29042652468894	3.60299246415256	1.32091829446858	3.59864551003357	2.14150064989811
CACYBP	10.9687601675863	10.3073657357467	10.2961932656498	11.0695509153088	10.6666809318742	10.0528191174778	10.3374573836016	10.618375121485	11.1988503873894	10.2110616030488	10.6229618274223	10.4119492231222	10.2682704955359	10.8881112055724	10.8792622996106	10.3551692894392	11.2665505683698	10.3923806570252	10.8396536095374	11.3651576352782
CALML3	3.56882956069762	2.14875604753219	3.16691024870488	1.8335367234087	2.8138913602717	1.50463940579835	2.97113516935575	1.94594977951348	2.11227182139867	1.8723252204749	2.45733696341366	2.26147658434604	2.7983380174632	5.85591238318423	2.78047822547283	3.6123546195763	2.60299246415256	3.12827321652618	2.94656881345388	2.14150064989811
CARD11	9.2599914652507	8.32368173003286	11.0162551985116	10.2943338840702	10.1463009390274	9.73345809629423	9.10812628143598	9.40947415278466	10.1593957335127	8.47223806266203	9.53720265682444	10.1905235936067	9.48283619173526	8.94337522443457	9.50060030947562	9.20928976196353	9.49982939509716	10.3349387647835	9.93362975774638	9.6538178487875
